seq,secs,nsecs,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,time
17428,1614000090,508044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000090.50804
17429,1614000090,568044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000090.56804
17430,1614000090,628044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000090.62804
17431,1614000090,688044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000090.68804
17432,1614000090,748044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000090.74804
17433,1614000090,808044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000090.80804
17434,1614000090,868044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000090.86804
17435,1614000090,928044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000090.92804
17436,1614000090,988044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000090.98804
17437,1614000091,48044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000091.04804
17438,1614000091,108044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000091.10804
17439,1614000091,168631095,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000091.16863
17440,1614000091,228631095,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000091.22863
17441,1614000091,288631095,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000091.28863
17442,1614000091,348631095,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000091.34863
17443,1614000091,408631095,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000091.40863
17444,1614000091,468631095,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000091.46863
17445,1614000091,528631095,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000091.52863
17446,1614000091,588631095,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000091.58863
17447,1614000091,648631095,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000091.64863
17448,1614000091,708631095,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000091.70863
17449,1614000091,768631095,1.90495812893,1.67195820808,0,0,0,-0.877605614079,0.479383339444,1614000091.76863
17450,1614000091,828631095,1.90253484249,1.66817355156,0,0,0,-0.877209629707,0.480107556229,1614000091.82863
17451,1614000091,888631095,1.89703536034,1.65957987309,0,0,0,-0.877209744174,0.480107347086,1614000091.88863
17452,1614000091,948631095,1.88820207119,1.64576768875,0,0,0,-0.877051274769,0.480396774995,1614000091.94863
17453,1614000092,8631095,1.87560725212,1.62606084347,0,0,0,-0.877051160234,0.480396984101,1614000092.00863
17454,1614000092,68631095,1.86019933224,1.60195350647,0,0,0,-0.877130406908,0.480252276701,1614000092.06863
17455,1614000092,128631095,1.84280633926,1.57477939129,0,0,0,-0.877288943061,0.479962613527,1614000092.12863
17456,1614000092,188631095,1.82505583763,1.54704642296,0,0,0,-0.877368060868,0.479817971493,1614000092.18863
17457,1614000092,248631095,1.80826377869,1.5209184885,0,0,0,-0.877763806162,0.479093624037,1614000092.24863
17458,1614000092,308631095,1.79172384739,1.49513971806,0,0,0,-0.877368118067,0.479817866903,1614000092.30863
17459,1614000092,368631095,1.7752622366,1.46947050095,0,0,0,-0.877447383555,0.479672898018,1614000092.36863
